,Område,Tid,Indhold
148,Herlev,2016,13728
149,Herlev,2017,13858
150,Hvidovre,2008,25494
151,Hvidovre,2009,24696
152,Hvidovre,2010,24426
153,Hvidovre,2011,24606
154,Hvidovre,2012,24766
155,Hvidovre,2013,25059
156,Hvidovre,2014,25386
157,Hvidovre,2015,25808
158,Hvidovre,2016,26186
159,Hvidovre,2017,26352
160,Høje-Taastrup,2008,24764
161,Høje-Taastrup,2009,23519
162,Høje-Taastrup,2010,22921
163,Høje-Taastrup,2011,23016
164,Høje-Taastrup,2012,22783
165,Høje-Taastrup,2013,23048
166,Høje-Taastrup,2014,23331
167,Høje-Taastrup,2015,23823
168,Høje-Taastrup,2016,24332
169,Høje-Taastrup,2017,24732
170,Ishøj,2008,10567
171,Ishøj,2009,9822
172,Ishøj,2010,9693
173,Ishøj,2011,9745
174,Ishøj,2012,9507
175,Ishøj,2013,9653
176,Ishøj,2014,9891
177,Ishøj,2015,10171
178,Ishøj,2016,10507
179,Ishøj,2017,10740
180,Lyngby-Taarbæk,2008,26342
181,Lyngby-Taarbæk,2009,25828
182,Lyngby-Taarbæk,2010,25752
183,Lyngby-Taarbæk,2011,25990
184,Lyngby-Taarbæk,2012,26296
185,Lyngby-Taarbæk,2013,26566
186,Lyngby-Taarbæk,2014,26821
187,Lyngby-Taarbæk,2015,27278
188,Lyngby-Taarbæk,2016,27367
189,Lyngby-Taarbæk,2017,27555
190,Rødovre,2008,18388
191,Rødovre,2009,17725
192,Rødovre,2010,17546
193,Rødovre,2011,17740
194,Rødovre,2012,17791
195,Rødovre,2013,17930
196,Rødovre,2014,18039
197,Rødovre,2015,18383
198,Rødovre,2016,18807
199,Rødovre,2017,19314
200,Vallensbæk,2008,7400
201,Vallensbæk,2009,7358
202,Vallensbæk,2010,7481
203,Vallensbæk,2011,7424
204,Vallensbæk,2012,7415
205,Vallensbæk,2013,7466
206,Vallensbæk,2014,7523
207,Vallensbæk,2015,7693
208,Vallensbæk,2016,7887
209,Vallensbæk,2017,8138
210,Province Nordsjælland,2008,229823
211,Province Nordsjælland,2009,222056
212,Province Nordsjælland,2010,220080
213,Province Nordsjælland,2011,218810
214,Province Nordsjælland,2012,217453
215,Province Nordsjælland,2013,217734
216,Province Nordsjælland,2014,219419
217,Province Nordsjælland,2015,223153
218,Province Nordsjælland,2016,226038
219,Province Nordsjælland,2017,228100
220,Allerød,2008,12871
221,Allerød,2009,12542
222,Allerød,2010,12409
223,Allerød,2011,12183
224,Allerød,2012,12167
225,Allerød,2013,12177
226,Allerød,2014,12308
227,Allerød,2015,12522
228,Allerød,2016,12768
229,Allerød,2017,12974
