,Område,Tid,Indhold
958,Holstebro,2016,28888
959,Holstebro,2017,29444
960,Ikast-Brande,2008,21459
961,Ikast-Brande,2009,20141
962,Ikast-Brande,2010,20108
963,Ikast-Brande,2011,20061
964,Ikast-Brande,2012,19879
965,Ikast-Brande,2013,19640
966,Ikast-Brande,2014,19811
967,Ikast-Brande,2015,20027
968,Ikast-Brande,2016,20265
969,Ikast-Brande,2017,20527
970,Lemvig,2008,11303
971,Lemvig,2009,10646
972,Lemvig,2010,10606
973,Lemvig,2011,10474
974,Lemvig,2012,10247
975,Lemvig,2013,10067
976,Lemvig,2014,10031
977,Lemvig,2015,9921
978,Lemvig,2016,9858
979,Lemvig,2017,9888
980,Ringkøbing-Skjern,2008,31795
981,Ringkøbing-Skjern,2009,29805
982,Ringkøbing-Skjern,2010,29151
983,Ringkøbing-Skjern,2011,29058
984,Ringkøbing-Skjern,2012,28276
985,Ringkøbing-Skjern,2013,27882
986,Ringkøbing-Skjern,2014,28128
987,Ringkøbing-Skjern,2015,28290
988,Ringkøbing-Skjern,2016,28520
989,Ringkøbing-Skjern,2017,28775
990,Skive,2008,24672
991,Skive,2009,23147
992,Skive,2010,22914
993,Skive,2011,22809
994,Skive,2012,22468
995,Skive,2013,22408
996,Skive,2014,22179
997,Skive,2015,22230
998,Skive,2016,22370
999,Skive,2017,22618
1000,Struer,2008,11532
1001,Struer,2009,10753
1002,Struer,2010,10499
1003,Struer,2011,10374
1004,Struer,2012,10071
1005,Struer,2013,9812
1006,Struer,2014,9818
1007,Struer,2015,9783
1008,Struer,2016,9797
1009,Struer,2017,9842
1010,Viborg,2008,49739
1011,Viborg,2009,47328
1012,Viborg,2010,46978
1013,Viborg,2011,46490
1014,Viborg,2012,46027
1015,Viborg,2013,45994
1016,Viborg,2014,46250
1017,Viborg,2015,46855
1018,Viborg,2016,47540
1019,Viborg,2017,48333
1020,Region Nordjylland,2008,293903
1021,Region Nordjylland,2009,278104
1022,Region Nordjylland,2010,276464
1023,Region Nordjylland,2011,275008
1024,Region Nordjylland,2012,272969
1025,Region Nordjylland,2013,271633
1026,Region Nordjylland,2014,272306
1027,Region Nordjylland,2015,274903
1028,Region Nordjylland,2016,278996
1029,Region Nordjylland,2017,281687
1030,Province Nordjylland,2008,293903
1031,Province Nordjylland,2009,278104
1032,Province Nordjylland,2010,276464
1033,Province Nordjylland,2011,275008
1034,Province Nordjylland,2012,272969
1035,Province Nordjylland,2013,271633
1036,Province Nordjylland,2014,272306
1037,Province Nordjylland,2015,274903
1038,Province Nordjylland,2016,278996
1039,Province Nordjylland,2017,281687
1040,Brønderslev,2008,17798
1041,Brønderslev,2009,16881
1042,Brønderslev,2010,16819
1043,Brønderslev,2011,16774
1044,Brønderslev,2012,16512
1045,Brønderslev,2013,16498
1046,Brønderslev,2014,16503
1047,Brønderslev,2015,16588
1048,Brønderslev,2016,16876
1049,Brønderslev,2017,17095
1050,Frederikshavn,2008,30851
1051,Frederikshavn,2009,28762
1052,Frederikshavn,2010,28308
1053,Frederikshavn,2011,27966
1054,Frederikshavn,2012,27699
1055,Frederikshavn,2013,27380
1056,Frederikshavn,2014,27342
1057,Frederikshavn,2015,27235
1058,Frederikshavn,2016,27410
1059,Frederikshavn,2017,27359
1060,Hjørring,2008,33699
1061,Hjørring,2009,31810
1062,Hjørring,2010,31419
1063,Hjørring,2011,31181
1064,Hjørring,2012,30853
1065,Hjørring,2013,30469
1066,Hjørring,2014,30301
1067,Hjørring,2015,30300
1068,Hjørring,2016,30692
1069,Hjørring,2017,30844
1070,Jammerbugt,2008,19720
1071,Jammerbugt,2009,18511
1072,Jammerbugt,2010,18419
1073,Jammerbugt,2011,18187
1074,Jammerbugt,2012,17946
1075,Jammerbugt,2013,17760
1076,Jammerbugt,2014,17642
1077,Jammerbugt,2015,17837
1078,Jammerbugt,2016,17982
1079,Jammerbugt,2017,18117
1080,Læsø,2008,936
1081,Læsø,2009,843
1082,Læsø,2010,847
1083,Læsø,2011,812
1084,Læsø,2012,769
1085,Læsø,2013,774
1086,Læsø,2014,761
1087,Læsø,2015,757
1088,Læsø,2016,766
1089,Læsø,2017,790
1090,Mariagerfjord,2008,21924
1091,Mariagerfjord,2009,20507
1092,Mariagerfjord,2010,20548
1093,Mariagerfjord,2011,20299
1094,Mariagerfjord,2012,19953
1095,Mariagerfjord,2013,19890
1096,Mariagerfjord,2014,19825
1097,Mariagerfjord,2015,19994
1098,Mariagerfjord,2016,20240
1099,Mariagerfjord,2017,20394
1100,Morsø,2008,10760
1101,Morsø,2009,10018
1102,Morsø,2010,9799
1103,Morsø,2011,9750
1104,Morsø,2012,9590
1105,Morsø,2013,9541
1106,Morsø,2014,9476
1107,Morsø,2015,9444
1108,Morsø,2016,9540
1109,Morsø,2017,9601
1110,Rebild,2008,15441
1111,Rebild,2009,14582
1112,Rebild,2010,14538
1113,Rebild,2011,14541
1114,Rebild,2012,14523
1115,Rebild,2013,14464
1116,Rebild,2014,14509
1117,Rebild,2015,14717
1118,Rebild,2016,14968
1119,Rebild,2017,15305
1120,Thisted,2008,23617
1121,Thisted,2009,22266
1122,Thisted,2010,21837
1123,Thisted,2011,21792
1124,Thisted,2012,21204
1125,Thisted,2013,21019
1126,Thisted,2014,20890
1127,Thisted,2015,20960
1128,Thisted,2016,21072
1129,Thisted,2017,21317
1130,Vesthimmerlands,2008,19597
1131,Vesthimmerlands,2009,18306
1132,Vesthimmerlands,2010,18121
1133,Vesthimmerlands,2011,17775
1134,Vesthimmerlands,2012,17645
1135,Vesthimmerlands,2013,17499
1136,Vesthimmerlands,2014,17531
1137,Vesthimmerlands,2015,17456
1138,Vesthimmerlands,2016,17638
1139,Vesthimmerlands,2017,17802
1140,Aalborg,2008,99560
1141,Aalborg,2009,95618
1142,Aalborg,2010,95809
1143,Aalborg,2011,95931
1144,Aalborg,2012,96275
1145,Aalborg,2013,96339
1146,Aalborg,2014,97526
1147,Aalborg,2015,99615
1148,Aalborg,2016,101812
1149,Aalborg,2017,103063
